0	12
0	25
0	26
0	27
0	28
0	43
0	44
0	45
0	51
0	57
0	63
0	69
0	76
0	82
2	11
2	15
2	24
2	34
2	36
2	38
2	40
2	42
2	44
2	47
2	49
2	51
2	53
2	55
2	57
2	60
2	62
2	63
2	65
2	67
2	70
2	72
2	73
2	75
2	9
5	15
5	20
5	25
5	29
5	35
5	60
5	72
5	75
5	78
5	82
5	86
5	90
8	45
9	17
9	26
9	33
9	38
9	70
9	73
9	83
9	86
9	90
10	14
10	17
10	24
10	26
10	33
10	59
10	70
10	73
10	84
10	88
11	14
11	17
11	24
11	26
11	33
11	5
11	51
11	58
11	59
11	67
11	70
11	73
11	76
12	17
12	26
12	45
12	79
15	15
15	20
15	25
15	29
15	45
15	58
15	60
15	82
15	85
15	89
17	47
17	49
17	63
17	64
17	65
18	18
18	19
18	21
18	22
18	27
18	28
18	30
18	31
18	67
25	13
25	17
25	20
25	22
25	24
25	26
25	28
25	30
25	32
25	33
25	35
25	37
25	40
25	41
25	43
25	45
25	47
25	6
25	70
25	71
25	77
25	78
25	84
25	85
25	97
28	18
28	21
28	89
28	91
31	31
32	19
32	24
33	17
33	19
34	17
34	19
34	37
34	45
34	49
34	88
35	31
38	18
38	31
38	89
38	91
40	33
40	34
40	35
40	41
40	42
40	43
40	6
40	70
40	78
40	84
41	13
41	37
41	69
41	77
41	85
48	12
48	13
48	14
48	27
48	28
48	30
48	32
48	36
48	40
48	44
48	45
48	46
48	47
48	51
48	53
48	55
48	57
48	59
48	60
48	62
48	64
48	66
48	69
48	71
48	74
48	76
48	78
48	80
48	82
48	84
51	23
51	36
51	38
51	40
51	42
51	69
51	7
51	71
51	75
51	79
51	83
51	88
51	9
51	92
55	11
55	20
55	73
56	20
56	35
56	39
56	68
56	73
57	15
57	20
57	32
57	35
57	39
57	5
57	51
57	58
57	64
57	68
57	73
57	8
57	86
58	20
58	89
60	0
60	97
61	0
61	23
61	36
61	38
61	40
61	42
61	58
61	69
61	71
61	9
61	92
61	97
62	0
62	97
63	28
63	29
63	30
63	44
63	45
63	46
63	47
63	60
63	61
63	62
64	21
64	22
64	24
64	25
64	32
71	13
71	17
71	30
71	31
71	45
71	46
71	6
71	74
71	76
71	78
71	80
71	82
71	84
71	87
72	32
72	47
74	18
74	52
74	60
74	68
74	75
74	79
74	83
74	87
74	89
74	91
77	56
77	62
77	70
78	49
78	56
78	62
78	70
78	73
79	17
79	49
79	56
79	62
79	70
79	73
80	17
80	19
80	34
80	49
80	56
80	63
80	71
80	73
80	88
81	49
81	56
84	18
84	52
84	89
84	91
86	6
87	13
87	29
87	32
87	44
87	47
87	50
87	51
87	53
87	54
87	57
87	58
87	60
87	61
87	62
87	65
87	66
87	68
87	69
87	70
94	11
94	18
94	19
94	21
94	23
94	41
94	42
94	45
94	47
94	48
94	51
94	52
94	54
94	57
94	58
94	59
94	66
94	68
94	81
94	9
95	43
97	14
97	29
97	48
97	52
97	55
97	67
97	73
97	78
97	85
97	88
97	92
100	45
101	45
101	48
101	52
101	56
101	65
101	70
102	46
102	50
102	54
102	65
102	70
103	13
103	23
103	30
103	45
103	5
103	54
103	60
103	65
103	70
103	77
103	83
103	86
104	26
104	70
107	14
107	29
107	47
107	51
107	55
107	73
107	78
108	0
108	97
109	19
109	20
109	21
109	81
110	23
110	40
110	43
110	71
110	72
110	74
110	75
